Passenger Revenue -- Domestic Operations,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Millions, , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , 
, ,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
, , , , , , , , , , , , , , , , , , , , , , , , , , 
American, ,9249.079,9495.155,9865.764,10245.193,10092.244,11419.405,9649.572,10311.785,10076.397,9974.441,10771.204,11397.943,11354.461,11083.99,9165.484,10058.805,10514.189,10945.455,11204.399,11846.764,19185.70635,18672.265410000004,19273.350599999998,19540.14795,20315.50285
Continental, ,3718.157,4097.872,4479.871,4783.395,5097.695,5809.702,5107.9,4448.479,4405.571,4613.109,4860.003,5529.521,5862.4,5770.148,4702.802,5116.389,5946.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delta, ,9071.7,9784.117,10503.748,10810.208,10942.365,11677.974,9548.984,8465.381,8106.924,8265.834,8372.149,7993.919,8091.444,7922.506,6406.112,11671.771,12862.391,13599.934,14800.919,16639.52,17622.062,17519.661,18316.71,20194.046,22010.901449999998
Northwest, ,5098.284,5716.372,5881.848,5190.104,5939.874,6455.099,5634.751,5284.303,5324.105,5665.305,5709.49,5822.096,5731.672,5437.098,3975.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United, ,8461.034,9492.562,9929.198,10594.618,10961.898,11458.187,9123.274,7662.693,7304.669,7746.814,7665.623,8641.593,8761.399,8514.094,6490.722,7120.8,7330.240470000001,12521.756449999999,12572.83228,13037.54809,13166.81926,13046.10303,14039.47402,15535.569089999999,16425.06478
US Airways, ,6058.567,6516.532,6724.698,6584.643,6362.351,6942.176,5886.502,4482.406,4074.756,4007.151,3949.321,6419.974200000001,6503.978749999999,6380.44244,5176.54,5683.379,6332.162060000001,6721.91132,7229.0970099999995,7732.43639,0.0,0.0,0.0,0.0,0.0
America West, ,1426.072,1586.80619,1709.6981400000002,1811.73224,1977.82655,2133.15733,1881.7366,1852.59115,2027.93729,2101.12343,2401.8286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
