Passenger Revenue -- International Operations,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Millions, , , , , , , , , , , , , , , , , , , , , , , , , , 
, , , , , , , , , , , , , , , , , , , , , , , , , , 
, ,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
, , , , , , , , , , , , , , , , , , , , , , , , , , 
American, ,4076.829,4136.689,4418.067,4443.051,4363.31,4951.49,4433.937,4106.485,4159.115,5008.83,5800.621,6445.34,6733.753,7136.354,5853.45,6685.041,7415.394859999999,7777.919,8366.87,8472.476,9836.91124,9199.856870000001,9941.70649,11103.43446,11129.10709
Continental, ,636.028,787.28,1205.974,1604.822,1876.816,2252.348,2048.441,2136.215,2150.522,2516.293,3082.915,3773.123,4494.379,5187.372,4166.216,4976.124,5856.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delta, ,2314.203,2196.397,2269.131,2368.829,2260.654,2460.043,2326.69,2268.808,2165.088,2556.882,2974.105,3666.493,4676.405,5844.13,4799.512,9542.966,10534.794,10827.453,10999.676,11313.428,10595.464,9856.216,9918.754,10692.798,10837.033449999999
Northwest, ,2663.666,2881.921,2840.094,2322.791,2647.316,3068.209,2583.851,2469.03,2292.59,2766.52,3128.49,3228.963,3561.074,3948.609,2861.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United, ,4566.364,4754.43,5139.423,4606.963,4479.065,5144.685,4342.715,3855.973,3314.128,4206.854,4794.609,5248.191,6084.312,6213.621,4771.354,6326.029,6829.156970000001,13144.476960000002,13280.18714,13577.76391,12993.581470000001,12193.205920000002,12358.257059999998,13221.71983,13843.901209999998
US Airways, ,209.195,282.888,387.331,435.987,485.711,613.774,693.442,741.703,850.309,1043.568,1096.201,1397.72432,1431.4548300000001,1592.72083,1379.107,1792.657,2030.0396899999998,2118.86885,2281.9930700000004,2225.00722,0.0,0.0,0.0,0.0,0.0
America West, ,16.79191,38.65352,43.7599,41.53629,45.753449999999994,42.46526,51.61029,67.32179000000001,80.49154000000001,91.26042000000001,108.12187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
